conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_plusminus,z_penalty_stats_minutes,composite_score,rank,rating
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Malaya Anaba,,0,16,25,7,0,,0,0,0,0,0,0,2,0,0,1,02:00,0,0,0,0,0,0,1,6,5,11,0.545,0.83,15,8,7,16,,,,,,,,,,,,,,,,,,0,41,7,5,2,0.05,0,0,0.14915691149197677,-0.12392521162340082,0.3402912489421986,0.6703101700379738,,,12,86
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Junfei (Tammy) Zhu,,0,17,17,0,0,,0,0,0,0,0,0,0,1,0,0,00:00,0,0,0,0,0,0,0,1,0,1,1.0,0.0,3,3,0,2,,,,,,,,,,,,,,,,,,0,11,2,1,1,0.09,0,0,-0.6555966574879907,-0.45439244261913636,-0.7053719266152856,-0.37640494163670835,,,13,86
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Emily Hohmann,,0,18,25,13,0,,0,0,0,0,0,0,1,0,0,12,24:00,0,0,0,0,0,0,12,0,0,0,,0.0,14,4,10,36,,,,,,,,,,,,,,,,,,0,68,7,5,2,0.03,0,0,0.14915691149197677,-0.12392521162340082,0.3402912489421986,1.1189023607556947,,,14,85
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Clara Cumming,,0,19,25,2,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,17,20,37,0.459,1.18,4,1,3,10,,,,,,,,,,,,,,,,,,0,41,1,1,0,0.0,0,0,-0.8165473712839841,-0.7848596736148719,-0.7053719266152856,0.07218724908101258,,,15,84
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Carlisle Brush,,0,20,25,1,0,,0,0,0,0,0,0,0,1,0,0,00:00,0,0,0,0,0,0,0,89,119,208,0.428,1.34,7,3,4,12,,,,,,,,,,,,,,,,,,0,25,4,2,2,0.08,0,0,-0.3336952298960037,-0.12392521162340082,-0.44395613272591455,0.2217179793202529,,,16,84
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Clare O'Connor,,d,21,25,5,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,17,2,15,24,,,,,,,,,,,,,,,,,,0,33,7,7,0,0.0,0,0,0.14915691149197677,-0.7848596736148719,0.8631228367209406,1.8665560119518962,,,17,83
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Bea Flynn,,0,22,25,12,0,,0,0,0,0,0,0,2,2,0,5,10:00,0,0,0,0,0,0,5,8,10,18,0.444,1.25,14,3,11,19,,,,,,,,,,,,,,,,,,0,121,14,8,6,0.05,0,0,1.2758119080639312,1.1979437123595413,1.1245386306103118,1.268433090994935,,,18,83
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Annabel Raffin,,0,24,25,8,0,,0,0,0,0,0,0,0,0,0,7,14:00,0,0,0,0,0,0,7,188,191,379,0.496,1.02,9,2,7,8,,,,,,,,,,,,,,,,,,0,55,8,5,3,0.05,0,0,0.31010762528797026,0.2065420193723347,0.3402912489421986,0.6703101700379738,,,19,83
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Maleigh Tittel,,0,31,1,1,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,1.0,59:55,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.667,1.0,0.0,0.0,1.0,0,0,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.37640494163670835,,,20,82
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,Joliane Tremblay,,0,33,1,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.37640494163670835,,,21,82
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Amherst,"Zhu, Tammy",,0,17,8,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,1,1,0.0,0.0,2,1,1,1,,,,,,,,,,,,,,,,,,0,6,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.22687421139746805,,,22,81
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Provenzo, Ava",,0,2,23,2,0,,0,0,0,1,0,0,0,0,0,7,14:00,0,0,0,0,0,0,7,0,1,1,0.0,0.0,7,9,-2,6,,,,,,,,,,,,,,,,,,0,21,2,0,2,0.1,0,0,-0.6555966574879907,-0.12392521162340082,-0.9667877205046567,-0.675466402115189,,,23,81
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Ito-Bagshaw, Sara",,0,4,16,5,0,,0,0,0,1,0,0,1,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,15,5,10,13,,,,,,,,,,,,,,,,,,0,23,11,10,1,0.04,0,0,0.7929597666759507,-0.45439244261913636,1.6473702183890537,1.1189023607556947,,,24,80
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Wojciak, Maddie",,0,5,24,5,0,,0,0,0,0,0,0,1,1,0,3,06:00,0,0,0,0,0,0,3,0,0,0,,0.0,19,12,7,34,,,,,,,,,,,,,,,,,,0,28,10,6,4,0.14,0,0,0.6320090528799572,0.5370092503680702,0.6017070428315696,0.6703101700379738,,,25,80
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Lu, Luna",,0,7,24,14,0,,0,0,0,1,1,1,1,3,0,7,14:00,0,0,0,0,0,0,7,12,56,68,0.176,4.67,21,12,9,18,,,,,,,,,,,,,,,,,,0,93,17,5,12,0.13,0,0,1.758664049451912,3.1807470983339545,0.3402912489421986,0.9693716305164544,,,26,80
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Merrill, Emma",,0,8,24,12,0,,0,0,0,1,0,0,1,2,0,3,06:00,0,0,0,0,0,0,3,1,0,1,1.0,100.0,7,9,-2,19,,,,,,,,,,,,,,,,,,0,34,6,4,2,0.06,0,0,-0.01179380230401673,-0.12392521162340082,0.07887545505282753,-0.675466402115189,,,27,79
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Frankenfeld, Charlee",,0,9,7,2,0,,0,0,0,0,0,0,1,0,0,0,00:00,0,0,0,0,0,0,0,1,0,1,1.0,100.0,9,7,2,5,,,,,,,,,,,,,,,,,,0,10,4,3,1,0.1,0,0,-0.3336952298960037,-0.45439244261913636,-0.18254033883654353,-0.07734348115822774,,,28,79
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Kent, Elizabeth",,0,10,18,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,6,6,0,3,,,,,,,,,,,,,,,,,,0,3,2,2,0,0.0,0,0,-0.6555966574879907,-0.7848596736148719,-0.44395613272591455,-0.37640494163670835,,,29,78
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Mele, Bella",,0,11,24,7,0,,0,0,0,0,0,0,1,1,0,18,36:00,0,0,0,0,0,0,18,0,0,0,,0.0,22,14,8,12,,,,,,,,,,,,,,,,,,0,60,12,8,4,0.07,0,0,0.9539104804719443,0.5370092503680702,1.1245386306103118,0.819840900277214,,,30,78
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Sullivan, Kate",,0,12,1,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.37640494163670835,,,31,78
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"LaPrade, Kendrick",,0,13,19,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,4,2,2,0,,,,,,,,,,,,,,,,,,0,9,4,3,1,0.11,0,0,-0.3336952298960037,-0.45439244261913636,-0.18254033883654353,-0.07734348115822774,,,32,77
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"DiMagno, Elena",,0,14,24,7,0,,0,0,1,0,1,0,0,1,0,5,10:00,0,0,0,0,0,0,5,2,6,8,0.25,3.0,9,9,0,3,,,,,,,,,,,,,,,,,,0,46,5,3,2,0.04,0,0,-0.1727445161000102,-0.12392521162340082,-0.18254033883654353,-0.37640494163670835,,,33,77
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Britt, Meghan",,0,15,24,14,0,,0,0,0,1,0,1,1,2,0,3,06:00,0,0,0,0,0,0,3,8,7,15,0.533,0.88,26,11,15,11,,,,,,,,,,,,,,,,,,0,72,22,12,10,0.14,0,0,2.5634176184318793,2.5198126363424835,2.170201806167796,1.8665560119518962,,,34,77
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Sun, Anyi",,0,16,24,8,0,,0,0,0,1,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,9,11,20,0.45,1.22,10,4,6,5,,,,,,,,,,,,,,,,,,0,51,8,4,4,0.08,0,0,0.31010762528797026,0.5370092503680702,0.07887545505282753,0.5207794397987335,,,35,76
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Albright, Sage",,0,17,17,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,2,2,0,0,,,,,,,,,,,,,,,,,,0,3,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.37640494163670835,,,36,76
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Palmer, Bea",,0,18,24,3,0,,0,0,0,0,1,0,1,0,0,2,04:00,0,0,0,0,0,0,2,35,39,74,0.473,1.11,12,6,6,7,,,,,,,,,,,,,,,,,,0,35,6,2,4,0.11,0,0,-0.01179380230401673,0.5370092503680702,-0.44395613272591455,0.5207794397987335,,,37,76
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Ainley, Abigail",,0,19,24,6,0,,0,0,0,0,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,120,165,285,0.421,1.38,11,7,4,13,,,,,,,,,,,,,,,,,,0,27,8,8,0,0.0,0,0,0.31010762528797026,-0.7848596736148719,1.1245386306103118,0.2217179793202529,,,38,75
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Brush, Channing",,0,20,24,10,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,1,1,0.0,0.0,9,10,-1,9,,,,,,,,,,,,,,,,,,0,15,1,1,0,0.0,0,0,-0.8165473712839841,-0.7848596736148719,-0.7053719266152856,-0.5259356718759487,,,39,75
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Cataldo, Molly",,0,21,23,0,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,1,1,2,0.5,1.0,8,7,1,3,,,,,,,,,,,,,,,,,,0,26,4,1,3,0.12,0,0,-0.3336952298960037,0.2065420193723347,-0.7053719266152856,-0.22687421139746805,,,40,75
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Imposimato, Ava",,0,22,23,6,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,101,145,246,0.411,1.44,6,9,-3,1,,,,,,,,,,,,,,,,,,0,42,3,2,1,0.02,0,0,-0.4946459436919972,-0.45439244261913636,-0.44395613272591455,-0.8249971323544294,,,41,74
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Barrett, Daphne",,0,23,5,0,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,0,0,0,,0.0,0,1,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.5259356718759487,,,42,74
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Nesvold, Sofia",,0,26,23,1,0,,0,0,0,0,0,0,0,0,0,5,10:00,0,0,0,0,0,0,5,97,72,169,0.574,0.74,8,5,3,6,,,,,,,,,,,,,,,,,,0,36,7,5,2,0.06,0,0,0.14915691149197677,-0.12392521162340082,0.3402912489421986,0.07218724908101258,,,43,74
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Schifano, Bella",,0,27,24,12,0,,0,0,0,0,1,0,2,0,0,5,10:00,0,0,0,0,0,0,5,199,153,352,0.565,0.77,21,14,7,13,,,,,,,,,,,,,,,,,,0,57,14,7,7,0.12,0,0,1.2758119080639312,1.5284109433552768,0.8631228367209406,0.6703101700379738,,,44,74
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Folden, Ericah",,0,1,2,2,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,2.0,116:16,3.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.889,2.0,0.0,0.0,1.55,0,0,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.37640494163670835,,,45,73
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Fassler, Lucy",,0,29,0,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.37640494163670835,,,46,73
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Peterson, Sarah",,0,30,12,12,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,12.0,714:51,23.0,309.0,1416171.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.931,12.0,0.0,0.0,1.93,0,0,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.37640494163670835,,,47,73
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Matusovich, Abby",,0,31,10,10,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,10.0,592:08,18.0,214.0,3112015281528.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.922,10.0,0.0,0.0,1.82,0,0,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.37640494163670835,,,48,72
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,Charlie Frankenfeld,,0,9,8,4,0,,0,0,0,0,0,0,0,0,0,9,18:00,0,0,0,0,0,0,9,-2,0,-2,1.0,-200.0,-3,4,-7,-4,,,,,,,,,,,,,,,,,,0,2,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-1.4231200533113906,,,49,72
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Grace Caligiuri,,g,1,7,6,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,6.0,308:32,11.0,77.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.875,6.0,0.0,0.0,2.14,0,0,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.37640494163670835,,,50,72
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Keirstyn Camiolo,,0,2,7,0,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,2,2,0,0,,,,,,,,,,,,,,,,,,0,4,1,1,0,0.0,0,0,-0.8165473712839841,-0.7848596736148719,-0.7053719266152856,-0.37640494163670835,,,51,72
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Molly Sant,,0,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0,0,-0.9774980850799777,-0.7848596736148719,-0.9667877205046567,-0.37640494163670835,,,52,71
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Abby Tattersall,,0,4,15,0,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,0,0,0,,0.0,14,3,11,4,,,,,,,,,,,,,,,,,,0,9,2,2,0,0.0,0,0,-0.6555966574879907,-0.7848596736148719,-0.44395613272591455,1.268433090994935,,,53,71
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Cailyn Murphy,,0,5,18,6,0,,0,0,0,0,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,0,0,0,,0.0,13,6,7,13,,,,,,,,,,,,,,,,,,0,20,2,1,1,0.05,0,0,-0.6555966574879907,-0.45439244261913636,-0.7053719266152856,0.6703101700379738,,,54,71
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Brooke Eselunas,,0,7,11,0,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,2,2,0.0,0.0,8,1,7,0,,,,,,,,,,,,,,,,,,0,13,5,2,3,0.23,0,0,-0.1727445161000102,0.2065420193723347,-0.44395613272591455,0.6703101700379738,,,55,70
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Michaud-nolan Kayleigh,,0,8,23,4,0,,0,0,0,0,0,0,0,0,0,11,22:00,0,0,0,0,0,0,11,155,99,254,0.61,0.64,16,9,7,10,,,,,,,,,,,,,,,,,,0,34,6,5,1,0.03,0,0,-0.01179380230401673,-0.45439244261913636,0.3402912489421986,0.6703101700379738,,,56,70
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Sophia Kennedy,,0,9,24,12,0,,0,2,0,0,1,1,2,3,0,5,10:00,0,0,0,0,0,0,5,2,6,8,0.25,3.0,18,3,15,16,,,,,,,,,,,,,,,,,,0,75,17,10,7,0.09,0,0,1.758664049451912,1.5284109433552768,1.6473702183890537,1.8665560119518962,,,57,70
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Marion Legge,,rw,10,24,9,0,,0,0,0,0,0,0,3,0,0,4,08:00,0,0,0,0,0,0,4,157,116,273,0.575,0.74,14,10,4,17,,,,,,,,,,,,,,,,,,0,46,12,8,4,0.09,0,0,0.9539104804719443,0.5370092503680702,1.1245386306103118,0.2217179793202529,,,58,70
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Allie Corrieri,,d,11,24,9,0,,0,0,0,1,0,0,2,1,0,5,10:00,0,0,0,0,0,0,5,0,0,0,,0.0,26,10,16,25,,,,,,,,,,,,,,,,,,0,61,14,10,4,0.07,0,0,1.2758119080639312,0.5370092503680702,1.6473702183890537,2.0160867421911366,,,59,69
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Emily Olsthoorn,,0,12,20,0,0,,0,0,0,0,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,50,38,88,0.568,0.76,18,3,15,3,,,,,,,,,,,,,,,,,,0,52,17,9,8,0.15,0,0,1.758664049451912,1.8588781743510123,1.3859544244996826,1.8665560119518962,,,60,69
