season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Cole Bronoel-Cuthrel,Cole,Bronoel-Cuthrel,,326,Cole Bronoel-Cuthrel,0,0KZOO,7,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,2,1,0,0,0,0,1,0,0,3,1.000,1,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-2020,False,9,1,0,1,0,0,0,0,0,0,8.2,5,2,4,6,2,0,0,2.08,35,40,2,1,0,0,0,0,0,1,.257,10,8,0,"0,2","0,1","0,4",0,"1,3"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Gavin Stewart,Gavin,Stewart,,326,Gavin Stewart,0,0KZOO,7,0,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0,2,0,.000,.000,.000,5,0,0,0,0,0,0,2,0,5,1.000,0,.000,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,1",0,0,0,0,0,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-2179,False,2,1,0,0,0,0,0,0,0,0,3.1,1,1,4,0,1,0,0,2.70,10,14,0,0,0,0,0,0,0,0,.200,2,6,0,"0,1","2,4",0,0,"1,2"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Mikey DeLuca,Mikey,DeLuca,,326,Mikey DeLuca,0,0KZOO,10,3,,,8,2,2,1,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.538,4,13,0,.000,.250,.500,7,12,0,0,0,0,0,2,0,19,1.000,0,.000,,0,0,3,2,"1,3",0.33,1,3,"1,3",0.33,1,3,"1,2",0.50,1,2,"1,2",0.50,1,2,0,0,0,0,"1,2",0,"3,4",0,0,0,0,5,0,0,0,1,0,0,,Kalamazoo,KZOO,1088-2172,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Parker Aten,Parker,Aten,,326,Parker Aten,0,0KZOO,7,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,4,0,0,0,0,2,0,0,5,1.000,2,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-2013,False,9,1,1,1,0,0,0,0,0,0,15.1,2,2,3,8,1,0,0,1.17,50,60,2,7,0,0,0,0,0,1,.180,10,22,1,"1,1","0,5","0,3",0,"0,2"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Jacob Davis,Jacob,Davis,,326,Jacob Davis,0,0KZOO,5,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,1,0,0,0,0,0,0,0,1,1.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-159,False,12,1,4,2,1,1,0,0,0,0,18.0,7,5,3,19,3,1,0,2.50,65,72,1,2,0,2,0,0,0,7,.185,14,19,0,"1,5","0,5","0,1",0,"1,7"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Clay Cook,Clay,Cook,,326,Clay Cook,0,0KZOO,16,3,,,19,10,8,3,1,0,0,3,0,1,2,1,3,1,2,0,0,0,0,0,0,0,0,0.522,9,25,4,.750,.421,.474,11,10,2,0,0,0,0,3,0,23,.913,0,.000,,1,0,7,3,"2,7",0.29,2,7,"3,8",0.38,3,8,"3,5",0.60,3,5,"1,3",0.33,1,3,0,0,0,0,"3,5","1,1","8,11",39,0,0,0,196,0,0,0,5,2,0,,Kalamazoo,KZOO,1088-2014,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Charlie Peterson,Charlie,Peterson,,326,Charlie Peterson,0,0KZOO,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-177,False,2,1,0,0,0,0,0,0,0,0,2.0,1,0,0,3,0,0,0,0.00,7,8,0,1,0,0,0,0,0,1,.286,0,2,0,"1,1","0,3",0,0,"0,1"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Carson Orvis,Carson,Orvis,,326,Carson Orvis,0,0KZOO,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,3,0,0,0,2,2,0,0,3,1.000,4,.500,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-2012,False,19,1,5,3,0,0,0,0,0,0,25.2,7,4,11,35,2,0,1,1.40,95,110,3,3,0,1,0,0,0,6,.200,16,20,1,"2,5","0,6","1,9",0,"0,5"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Daniel Beccari,Daniel,Beccari,,326,Daniel Beccari,0,0KZOO,13,2,,,13,3,2,5,0,0,1,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.450,5,20,0,.000,.154,.385,14,0,1,0,0,0,0,2,0,15,.933,0,.000,,0,1,3,4,"1,8",0.13,1,8,"2,12",0.17,2,12,"1,9",0.11,1,9,"0,5",0,0,5,0,0,0,0,"1,2","0,2","7,17",6,0,0,0,123,0,0,0,0,12,0,,Kalamazoo,KZOO,1088-169,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Owen Schihl,Owen,Schihl,,326,Owen Schihl,0,0KZOO,6,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,0,0,0,0,0,0,0,0,1,1.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-1776,False,11,1,0,1,0,1,0,0,0,0,9.0,6,5,2,8,1,0,2,5.00,36,39,3,1,0,0,0,0,0,3,.306,7,10,0,"0,1","1,3","1,3",0,"1,2"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Austin Keur,Austin,Keur,,326,Austin Keur,0,0KZOO,15,6,,,19,13,8,7,1,0,0,6,0,3,2,0,3,0,1,1,0,0,0,0,0,1,0,0.586,9,30,3,1.000,.421,.474,12,0,0,0,0,0,0,0,0,12,1.000,0,.000,,1,2,5,5,"2,10",0.20,2,10,"4,10",0.40,4,10,"4,7",0.57,4,7,"1,3",0.33,1,3,0,0,0,0,"6,8","3,3","11,17",46,0,0,0,7,0,0,0,2,8,0,,Kalamazoo,KZOO,1088-2017,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Dillon Rodriguez,Dillon,Rodriguez,,326,Dillon Rodriguez,0,0KZOO,11,0,,,2,2,1,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.750,4,4,0,.000,.500,2.000,2,3,1,0,0,0,0,1,0,6,.833,0,.000,,0,0,0,0,0,0,0,0,"1,2",0.50,1,2,"1,2",0.50,1,2,"0,1",0,0,1,0,0,0,0,0,"0,2","1,2",2,0,0,0,35,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-1775,False,3,1,0,0,0,0,0,0,0,0,3.2,2,0,1,3,0,0,1,0.00,14,16,0,1,0,0,0,0,0,0,.214,0,7,0,"1,1","2,5","1,3",0,"1,2"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Matt Butterly,Matt,Butterly,,326,Matt Butterly,0,0KZOO,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-171,False,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,.000,1,0,0,0,0,"0,1",0,"0,1"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Aidan Liedeke,Aidan,Liedeke,,326,Aidan Liedeke,0,0KZOO,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-1771,False,0,1,0,0,0,0,0,0,0,0,1.1,0,0,1,2,0,0,0,0.00,4,6,0,1,0,0,0,0,0,1,.000,0,2,0,"1,1","0,1",0,0,"0,1"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Carson Merritt,Carson,Merritt,,326,Carson Merritt,0,0KZOO,6,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,1,1,0,0,0,0,0,0,2,.500,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-2168,False,5,1,1,0,0,0,0,0,0,0,6.0,4,2,2,6,3,0,0,3.00,23,27,0,1,0,0,1,0,1,0,.217,5,7,0,"2,4","1,6","0,6",0,"0,4"
2026-27,baseball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Connor Ritchie,Connor,Ritchie,,326,Connor Ritchie,0,0KZOO,6,0,,,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,2,4,0,.000,.500,.500,7,0,0,1,0,0,0,0,0,7,1.000,0,.000,,0,0,2,0,0,0,0,0,"1,1",1.00,1,1,"1,1",1.00,1,1,0,0,0,0,0,0,0,0,"1,3","1,1","1,1",88,0,0,0,121,0,0,0,0,0,0,,Kalamazoo,KZOO,1088-2181,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
