conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Francis Ferguson,,,,22,18,26,8,8,4,3,0,0,13,0,0,5,2,2,0,0,0,0,0,0,0,1,0,0,0.538,11,39,2,1.000,.308,.423,8,5,0,0,0,6,0,0,0,13,1.000,6,1.000,1,1,5,7,"1,10",0.10,1,10,"3,13",0.23,3,13,"3,10",0.30,3,10,"1,2",0.50,1,2,0,0,0,0,"7,12","1,1","13,22",0,0,0,0,9,0,0,0,0,9,0,36,1,9,4,4,0,1,0,0,0,45.0,25,20,18,61,5,1,4,4.00,167,198,3,6,1,2,5,0,0,23,.216,38,35,0,"3,4","3,13","3,8",0,"1,4"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Nathan Furino,,,,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,10,0,0,0,3,3,0,0,10,1.000,6,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,7,5,1,1,1,0,0,0,58.1,27,23,19,59,4,1,4,3.55,222,251,2,9,0,1,0,0,0,10,.230,50,59,0,"2,8","2,12","3,15",0,"1,8"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Connor Willett,,,,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,3,1,0,0,0,0.000,4,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,1,1,0,0,0,0,0,12.0,15,10,8,9,6,2,0,7.50,53,66,1,4,0,1,0,0,1,4,.340,10,13,0,"1,1","1,4","2,3",0,"2,4"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Brendan Kelly,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2.2,1,0,1,3,2,0,0,0.00,9,12,0,1,0,1,0,0,0,0,.222,2,3,0,"0,1","0,2","0,2",0,"0,1"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Joseph Barlovic,,,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,4,2,0,0,3,0,0,0,6,.667,3,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,2,0,0,0,0,0,10.2,12,10,1,9,5,0,1,8.44,49,55,0,4,0,1,0,0,0,1,.367,14,8,1,"1,6","7,13","2,3",0,"3,8"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Dan Driscoll,,,,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,5,0,0,0,5,1,0,0,6,1.000,6,.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,8,5,1,0,0,0,0,0,48.0,33,27,16,63,10,1,5,5.06,203,232,0,10,0,1,2,0,0,16,.281,47,33,0,"0,2","0,1","0,3",0,"0,2"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Sean Fallon,,,,9,5,22,3,8,3,4,0,0,3,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0.423,12,26,0,.000,.364,.545,44,2,0,0,0,10,1,0,0,46,1.000,11,.909,0,1,3,5,"4,11",0.36,4,11,"5,12",0.42,5,12,"4,9",0.44,4,9,"1,2",0.50,1,2,0,0,0,0,"0,1","1,3","10,15",1,0,0,0,22,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Cameron Forte,,,,15,1,17,5,7,7,1,0,2,0,0,1,6,4,1,0,0,1,0,0,0,0,0,0,0,0.421,14,19,1,1.000,.412,.824,6,6,2,0,0,0,0,1,0,14,.857,0,.000,0,1,1,4,"4,8",0.50,4,8,"4,11",0.36,4,11,"3,7",0.43,3,7,"1,1",1.00,1,1,0,0,0,0,"2,3","1,2","7,13",2,0,0,0,111,0,0,0,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Mike Furgalack,,,,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,2,0,0,0,1,0,0,0,3,1.000,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,4,0,0,0,0,0,0,21.0,8,5,12,27,0,0,1,2.14,72,97,3,13,0,0,0,0,0,8,.153,24,10,0,"1,3","2,8","0,3",0,"1,3"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Jack Hawes,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1.0,2,2,2,0,0,0,0,18.00,5,7,0,0,0,0,0,0,0,0,.600,1,1,0,"1,1","2,4",0,0,"1,2"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Dylan Jackson,,,,24,13,54,10,16,6,3,0,1,7,0,1,17,9,1,0,0,0,0,0,0,1,0,1,0,0.387,22,62,1,1.000,.296,.407,24,30,3,0,0,0,0,8,0,57,.947,0,.000,4,4,11,8,"7,22",0.32,7,22,"7,30",0.23,7,30,"4,18",0.22,4,18,"3,6",0.50,3,6,0,0,0,0,"5,13","1,3","14,33",48,0,0,0,49,0,0,0,2,16,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,0,0
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Justin Hernandez,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,3,0,0,0,0,0.000,3,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2.2,8,8,5,3,3,0,1,27.00,13,18,1,0,0,0,0,0,0,1,.462,1,3,0,"1,1","2,3","0,1",0,"0,1"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Ayden Kempesta,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1.2,2,2,1,2,2,0,0,10.80,7,8,0,0,0,0,0,0,0,0,.286,2,1,0,"1,1","2,7","0,2",0,"0,2"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Daniel Lapham,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,0,0,0,0,0,1,0,0,0,0.000,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3.1,6,1,5,4,1,0,0,2.70,15,21,1,1,0,0,0,0,0,0,.267,2,3,0,"0,1","1,2","0,2",0,"1,2"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Alex Mach,,,,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,3,3,0,0,0,2,1,0,0,6,1.000,3,.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,7,3,0,0,0,0,0,0,33.0,17,15,8,26,6,0,3,4.09,142,157,0,5,0,1,1,0,0,6,.303,39,31,0,"2,4","4,11","3,5",0,"0,3"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Andrew Merrill,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,1,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,0,0,1,0,"0,1",0,0,1,"0,1",0,0,1,"0,1",0,0,1,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,9,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1.0,3,1,1,0,0,0,0,9.00,6,7,0,0,0,0,0,0,0,0,.333,1,2,0,"0,1","1,4","1,4",0,"0,2"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Nick Montagna,,,,25,15,63,18,12,10,2,0,1,12,0,1,12,2,6,3,3,2,0,0,0,0,0,0,0,0.321,17,81,9,.667,.190,.270,19,43,7,0,0,0,0,4,0,69,.899,0,.000,2,4,20,22,"5,25",0.20,5,25,"6,39",0.15,6,39,"4,28",0.14,4,28,"1,3",0.33,1,3,0,0,0,0,"6,10","5,6","21,48",50,0,0,0,3,0,0,0,13,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Nicholas Furino,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,1,0,0,0,2,1,0,0,2,1.000,3,.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,0,0,0,15.0,6,5,5,13,2,0,0,3.00,56,62,0,0,0,0,1,0,0,6,.179,10,20,0,"0,1","0,2","0,1",0,"0,1"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Brady Nichols,,,,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0,2,0,.000,.000,.000,6,0,0,0,0,0,0,0,0,6,1.000,0,.000,1,0,0,0,"0,1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,1",0,0,0,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Tiernan Powers,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,1,0,0,0,3,0,0,0,2,1.000,3,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,0,0,0,0,0,11.0,11,6,8,8,3,0,0,4.91,48,59,0,3,0,0,0,0,0,2,.313,10,11,0,"1,1","4,6","0,1",0,"2,2"
lec,Little East Conference (LEC),2025-26,baseball,Eastern Connecticut,Tyler Rice,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,1,2,0,0,0,2,0,0,0,3,1.000,2,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,1,5,0,0,0,0,15.0,6,4,7,27,2,0,0,2.40,58,68,0,2,0,0,1,0,1,5,.259,4,12,1,"1,1","0,2","0,1",0,"0,1"
